Maakond,Aasta,Hukkunuid,Hoone liik,Tekkepõhjus,Kuu
Harju maakond,2015,1,eluhoone,102 Suitsetamisel,3
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,4
Harju maakond,2015,1,eluhoone,402 Rike elektriseadmes,4
Tartu maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,5
Saare maakond,2015,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2015,1,eluhoone,402 Rike elektriseadmes,5
Harju maakond,2015,1,eluhoone,101 Lahtise tule kasutamisel,5
Viljandi maakond,2015,1,eluhoone,403 Rike elektripaigaldises,6
Tartu maakond,2015,1,eluhoone,102 Suitsetamisel,6
Põlva maakond,2015,1,eluhoone,102 Suitsetamisel,6
Harju maakond,2015,3,eluhoone,102 Suitsetamisel,6
Valga maakond,2015,2,eluhoone,403 Rike elektripaigaldises,7
Lääne-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,7
Valga maakond,2015,1,eluhoone,102 Suitsetamisel,8
Põlva maakond,2015,1,eluhoone,102 Suitsetamisel,9
Tartu maakond,2015,1,-Puudub-,104 Elektriseadmete kasutamisel,10
Pärnu maakond,2015,2,eluhoone,101 Lahtise tule kasutamisel,10
Pärnu maakond,2015,1,eluhoone,102 Suitsetamisel,10
Lääne-Viru maakond,2015,1,eluhoone,101 Lahtise tule kasutamisel,10
Ida-Viru maakond,2015,1,eluhoone,104 Elektriseadmete kasutamisel,10
Harju maakond,2015,1,eluhoone,105 Kütteseadmete kasutamisel,10
Harju maakond,2015,1,eluhoone,102 Suitsetamisel,10
Tartu maakond,2015,1,eluhoone,404 Rike kütteseadmes,11
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,11
Võru maakond,2015,1,eluhoone,102 Suitsetamisel,12
Valga maakond,2015,1,eluhoone,601 Kindlaks tegemata põhjus,12
Järva maakond,2015,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2015,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2015,1,eluhoone,402 Rike elektriseadmes,12
Harju maakond,2015,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Võru maakond,2016,1,eluhoone,102 Suitsetamisel,1
Viljandi maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,1
Tartu maakond,2016,2,eluhoone,105 Kütteseadmete kasutamisel,1
Saare maakond,2016,1,eluhoone,403 Rike elektripaigaldises,1
Lääne maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,1
Järva maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,1
Ida-Viru maakond,2016,2,eluhoone,102 Suitsetamisel,1
Harju maakond,2016,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2016,1,eluhoone,601 Kindlaks tegemata põhjus,1
Harju maakond,2016,1,eluhoone,402 Rike elektriseadmes,2
Pärnu maakond,2016,1,eluhoone,104 Elektriseadmete kasutamisel,3
Põlva maakond,2016,1,eluhoone,104 Elektriseadmete kasutamisel,3
Harju maakond,2016,1,eluhoone,601 Kindlaks tegemata põhjus,3
Viljandi maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,4
Põlva maakond,2016,1,eluhoone,402 Rike elektriseadmes,4
Harju maakond,2016,4,eluhoone,102 Suitsetamisel,4
Ida-Viru maakond,2016,1,eluhoone,102 Suitsetamisel,5
Ida-Viru maakond,2016,2,eluhoone,402 Rike elektriseadmes,5
Harju maakond,2016,1,mitteeluhoone,601 Kindlaks tegemata põhjus,5
Ida-Viru maakond,2016,1,eluhoone,102 Suitsetamisel,7
Valga maakond,2016,1,eluhoone,102 Suitsetamisel,9
Rapla maakond,2016,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2016,1,eluhoone,105 Kütteseadmete kasutamisel,10
Harju maakond,2016,1,eluhoone,102 Suitsetamisel,10
Pärnu maakond,2016,1,mitteeluhoone,601 Kindlaks tegemata põhjus,11
Lääne-Viru maakond,2016,1,eluhoone,102 Suitsetamisel,11
Järva maakond,2016,1,eluhoone,110 Muu hooletus,11
Tartu maakond,2016,1,eluhoone,601 Kindlaks tegemata põhjus,12
Tartu maakond,2016,2,eluhoone,105 Kütteseadmete kasutamisel,12
Järva maakond,2016,1,eluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2016,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Harju maakond,2016,1,eluhoone,102 Suitsetamisel,12
Tartu maakond,2017,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2017,1,eluhoone,402 Rike elektriseadmes,1
Lääne-Viru maakond,2017,2,eluhoone,601 Kindlaks tegemata põhjus,2
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,2
Tartu maakond,2017,1,mitteeluhoone,601 Kindlaks tegemata põhjus,3
Saare maakond,2017,1,eluhoone,102 Suitsetamisel,3
Ida-Viru maakond,2017,1,eluhoone,402 Rike elektriseadmes,3
Harju maakond,2017,1,eluhoone,601 Kindlaks tegemata põhjus,3
Ida-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,4
Harju maakond,2017,1,eluhoone,104 Elektriseadmete kasutamisel,4
Valga maakond,2017,1,eluhoone,102 Suitsetamisel,5
Saare maakond,2017,1,eluhoone,601 Kindlaks tegemata põhjus,5
Rapla maakond,2017,1,eluhoone,102 Suitsetamisel,5
Pärnu maakond,2017,1,eluhoone,404 Rike kütteseadmes,5
Lääne-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,6
Lääne-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,7
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,7
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,9
Võru maakond,2017,1,eluhoone,102 Suitsetamisel,10
Lääne maakond,2017,1,eluhoone,104 Elektriseadmete kasutamisel,10
Hiiu maakond,2017,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2017,2,eluhoone,102 Suitsetamisel,10
Võru maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,11
Viljandi maakond,2017,1,eluhoone,102 Suitsetamisel,11
Tartu maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,11
Põlva maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,11
Viljandi maakond,2017,2,eluhoone,102 Suitsetamisel,12
Tartu maakond,2017,1,eluhoone,102 Suitsetamisel,12
Pärnu maakond,2017,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Järva maakond,2017,1,eluhoone,101 Lahtise tule kasutamisel,12
Ida-Viru maakond,2017,1,eluhoone,102 Suitsetamisel,12
Ida-Viru maakond,2017,1,eluhoone,410 Seadme või süsteemi vale paigaldus,12
Harju maakond,2017,1,eluhoone,402 Rike elektriseadmes,12
Harju maakond,2017,1,eluhoone,102 Suitsetamisel,12
Järva maakond,2018,1,eluhoone,102 Suitsetamisel,1
Harju maakond,2018,1,eluhoone,601 Kindlaks tegemata põhjus,1
Viljandi maakond,2018,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),2
Jõgeva maakond,2018,1,eluhoone,403 Rike elektripaigaldises,2
Ida-Viru maakond,2018,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),2
Harju maakond,2018,2,eluhoone,102 Suitsetamisel,2
Võru maakond,2018,1,eluhoone,601 Kindlaks tegemata põhjus,3
Lääne-Viru maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,3
Harju maakond,2018,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),3
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,3
Võru maakond,2018,1,-Puudub-,teadmata,4
Pärnu maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,4
Lääne-Viru maakond,2018,1,eluhoone,102 Suitsetamisel,4
Jõgeva maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,4
Harju maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,4
Põlva maakond,2018,1,eluhoone,102 Suitsetamisel,5
Jõgeva maakond,2018,1,eluhoone,102 Suitsetamisel,5
Võru maakond,2018,1,mitteeluhoone,102 Suitsetamisel,7
Ida-Viru maakond,2018,1,mitteeluhoone,105 Kütteseadmete kasutamisel,7
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,7
Tartu maakond,2018,1,eluhoone,104 Elektriseadmete kasutamisel,8
Lääne maakond,2018,1,eluhoone,102 Suitsetamisel,8
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,8
Tartu maakond,2018,2,eluhoone,101 Lahtise tule kasutamisel,9
Valga maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,10
Tartu maakond,2018,1,mitteeluhoone,601 Kindlaks tegemata põhjus,10
Tartu maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,10
Lääne-Viru maakond,2018,1,eluhoone,403 Rike elektripaigaldises,10
Hiiu maakond,2018,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2018,1,eluhoone,102 Suitsetamisel,10
Viljandi maakond,2018,3,eluhoone,402 Rike elektriseadmes,11
Valga maakond,2018,1,eluhoone,101 Lahtise tule kasutamisel,11
Tartu maakond,2018,2,eluhoone,102 Suitsetamisel,11
Pärnu maakond,2018,1,eluhoone,102 Suitsetamisel,11
Tartu maakond,2018,2,eluhoone,402 Rike elektriseadmes,12
Tartu maakond,2018,1,eluhoone,102 Suitsetamisel,12
Tartu maakond,2018,1,eluhoone,105 Kütteseadmete kasutamisel,12
Saare maakond,2018,1,eluhoone,102 Suitsetamisel,12
Saare maakond,2018,1,eluhoone,601 Kindlaks tegemata põhjus,12
Põlva maakond,2018,1,eluhoone,102 Suitsetamisel,12
Lääne-Viru maakond,2018,1,eluhoone,102 Suitsetamisel,12
Harju maakond,2018,1,eluhoone,601 Kindlaks tegemata põhjus,12
Harju maakond,2018,2,eluhoone,105 Kütteseadmete kasutamisel,12
Saare maakond,2019,1,eluhoone,102 Suitsetamisel,1
Ida-Viru maakond,2019,1,eluhoone,102 Suitsetamisel,1
Ida-Viru maakond,2019,1,eluhoone,101 Lahtise tule kasutamisel,1
Harju maakond,2019,1,eluhoone,601 Kindlaks tegemata põhjus,1
Tartu maakond,2019,2,eluhoone,102 Suitsetamisel,2
Tartu maakond,2019,1,eluhoone,105 Kütteseadmete kasutamisel,2
Pärnu maakond,2019,1,eluhoone,105 Kütteseadmete kasutamisel,2
Jõgeva maakond,2019,1,eluhoone,102 Suitsetamisel,2
Valga maakond,2019,1,eluhoone,402 Rike elektriseadmes,3
Võru maakond,2019,1,-Puudub-,101 Lahtise tule kasutamisel,4
Põlva maakond,2019,1,eluhoone,102 Suitsetamisel,4
Lääne-Viru maakond,2019,2,eluhoone,101 Lahtise tule kasutamisel,4
Lääne-Viru maakond,2019,1,eluhoone,102 Suitsetamisel,4
Valga maakond,2019,1,-Puudub-,102 Suitsetamisel,5
Ida-Viru maakond,2019,1,eluhoone,102 Suitsetamisel,6
Pärnu maakond,2019,1,eluhoone,102 Suitsetamisel,7
Lääne-Viru maakond,2019,1,eluhoone,102 Suitsetamisel,7
Ida-Viru maakond,2019,2,eluhoone,102 Suitsetamisel,8
Viljandi maakond,2019,1,eluhoone,405 Mootorsõiduki elektri- ja toitesüsteemi rike,9
Rapla maakond,2019,1,eluhoone,102 Suitsetamisel,9
Ida-Viru maakond,2019,1,eluhoone,102 Suitsetamisel,9
Harju maakond,2019,1,eluhoone,601 Kindlaks tegemata põhjus,9
Harju maakond,2019,1,eluhoone,102 Suitsetamisel,9
Saare maakond,2019,1,eluhoone,109 Laste mängimine lahtise tulega,10
Rapla maakond,2019,1,eluhoone,409 Tahma süttimine suitsulõõris - tahmapõleng korstnas,10
Harju maakond,2019,1,eluhoone,102 Suitsetamisel,10
Tartu maakond,2019,1,eluhoone,403 Rike elektripaigaldises,11
Rapla maakond,2019,1,eluhoone,102 Suitsetamisel,11
Viljandi maakond,2019,1,eluhoone,102 Suitsetamisel,12
Tartu maakond,2019,6,eluhoone,402 Rike elektriseadmes,12
Saare maakond,2019,1,eluhoone,105 Kütteseadmete kasutamisel,12
Põlva maakond,2019,1,eluhoone,101 Lahtise tule kasutamisel,12
Jõgeva maakond,2019,1,eluhoone,105 Kütteseadmete kasutamisel,12
Harju maakond,2019,1,eluhoone,105 Kütteseadmete kasutamisel,12
Harju maakond,2019,1,eluhoone,101 Lahtise tule kasutamisel,12
Ida-Viru maakond,2020,1,eluhoone,101 Lahtise tule kasutamisel,1
Harju maakond,2020,1,-Puudub-,102 Suitsetamisel,1
Harju maakond,2020,1,eluhoone,teadmata,1
Võru maakond,2020,1,eluhoone,105 Kütteseadmete kasutamisel,2
Pärnu maakond,2020,2,eluhoone,102 Suitsetamisel,2
Järva maakond,2020,1,eluhoone,101 Lahtise tule kasutamisel,2
Ida-Viru maakond,2020,1,eluhoone,102 Suitsetamisel,2
Harju maakond,2020,1,eluhoone,102 Suitsetamisel,2
Valga maakond,2020,1,eluhoone,102 Suitsetamisel,3
Saare maakond,2020,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2020,1,eluhoone,102 Suitsetamisel,3
Harju maakond,2020,1,-Puudub-,103 Tuletöödel,3
Võru maakond,2020,1,eluhoone,102 Suitsetamisel,4
Jõgeva maakond,2020,1,-Puudub-,101 Lahtise tule kasutamisel,4
Tartu maakond,2020,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2020,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2020,1,mitteeluhoone,106 Toiduvalmistamisel (kõrbemine),5
Viljandi maakond,2020,1,eluhoone,105 Kütteseadmete kasutamisel,6
Pärnu maakond,2020,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),6
Harju maakond,2020,1,eluhoone,102 Suitsetamisel,6
Tartu maakond,2020,1,mitteeluhoone,102 Suitsetamisel,7
Tartu maakond,2020,1,eluhoone,102 Suitsetamisel,9
Harju maakond,2020,1,eluhoone,403 Rike elektripaigaldises,9
Viljandi maakond,2020,2,eluhoone,403 Rike elektripaigaldises,10
Järva maakond,2020,1,eluhoone,102 Suitsetamisel,10
Ida-Viru maakond,2020,2,eluhoone,601 Kindlaks tegemata põhjus,11
Ida-Viru maakond,2020,1,eluhoone,102 Suitsetamisel,11
Harju maakond,2020,1,-Puudub-,teadmata,11
Harju maakond,2020,1,eluhoone,601 Kindlaks tegemata põhjus,11
Võru maakond,2020,1,eluhoone,102 Suitsetamisel,12
Tartu maakond,2020,1,mitteeluhoone,101 Lahtise tule kasutamisel,12
Tartu maakond,2020,1,-Puudub-,101 Lahtise tule kasutamisel,12
Harju maakond,2020,1,eluhoone,105 Kütteseadmete kasutamisel,12
Tartu maakond,2021,1,eluhoone,105 Kütteseadmete kasutamisel,1
Ida-Viru maakond,2021,3,eluhoone,403 Rike elektripaigaldises,1
Tartu maakond,2021,2,eluhoone,403 Rike elektripaigaldises,2
Harju maakond,2021,1,eluhoone,402 Rike elektriseadmes,2
Viljandi maakond,2021,1,eluhoone,102 Suitsetamisel,3
Järva maakond,2021,1,eluhoone,101 Lahtise tule kasutamisel,3
Võru maakond,2021,1,eluhoone,102 Suitsetamisel,4
Viljandi maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,4
Ida-Viru maakond,2021,2,eluhoone,402 Rike elektriseadmes,4
Harju maakond,2021,2,eluhoone,teadmata,4
Harju maakond,2021,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),4
Pärnu maakond,2021,1,eluhoone,102 Suitsetamisel,5
Lääne-Viru maakond,2021,2,eluhoone,102 Suitsetamisel,5
Jõgeva maakond,2021,1,eluhoone,403 Rike elektripaigaldises,5
Harju maakond,2021,1,mitteeluhoone,101 Lahtise tule kasutamisel,5
Harju maakond,2021,1,eluhoone,106 Toiduvalmistamisel (kõrbemine),5
Harju maakond,2021,1,eluhoone,102 Suitsetamisel,6
Saare maakond,2021,1,eluhoone,102 Suitsetamisel,7
Ida-Viru maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,7
Tartu maakond,2021,1,eluhoone,teadmata,9
Tartu maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,9
Harju maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,9
Viljandi maakond,2021,1,eluhoone,105 Kütteseadmete kasutamisel,10
Tartu maakond,2021,1,eluhoone,102 Suitsetamisel,10
Harju maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,10
Valga maakond,2021,1,eluhoone,102 Suitsetamisel,11
Tartu maakond,2021,1,eluhoone,402 Rike elektriseadmes,11
Ida-Viru maakond,2021,1,eluhoone,102 Suitsetamisel,11
Tartu maakond,2021,1,eluhoone,402 Rike elektriseadmes,12
Pärnu maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,12
Ida-Viru maakond,2021,1,eluhoone,601 Kindlaks tegemata põhjus,12
Ida-Viru maakond,2021,1,eluhoone,102 Suitsetamisel,12
Harju maakond,2021,1,eluhoone,105 Kütteseadmete kasutamisel,12
Viljandi maakond,2022,1,eluhoone,101 Lahtise tule kasutamisel,1
Saare maakond,2022,2,eluhoone,102 Suitsetamisel,1
Lääne maakond,2022,1,eluhoone,101 Lahtise tule kasutamisel,1
Harju maakond,2022,1,eluhoone,402 Rike elektriseadmes,1
Tartu maakond,2022,1,mitteeluhoone,403 Rike elektripaigaldises,2
Harju maakond,2022,1,eluhoone,102 Suitsetamisel,2
Saare maakond,2022,1,eluhoone,104 Elektriseadmete kasutamisel,3
Pärnu maakond,2022,2,eluhoone,101 Lahtise tule kasutamisel,3
Järva maakond,2022,2,eluhoone,102 Suitsetamisel,3
Harju maakond,2022,1,eluhoone,102 Suitsetamisel,3
Lääne-Viru maakond,2022,1,eluhoone,401 Tehnilise seadme rike,4
Ida-Viru maakond,2022,1,-Puudub-,101 Lahtise tule kasutamisel,4
Tartu maakond,2022,1,eluhoone,404 Rike kütteseadmes,5
Saare maakond,2022,1,eluhoone,402 Rike elektriseadmes,5
Rapla maakond,2022,1,eluhoone,102 Suitsetamisel,5
Lääne-Viru maakond,2022,1,eluhoone,104 Elektriseadmete kasutamisel,5
Ida-Viru maakond,2022,1,eluhoone,102 Suitsetamisel,5
Harju maakond,2022,1,-Puudub-,101 Lahtise tule kasutamisel,5
Tartu maakond,2022,1,eluhoone,-Puudub-,6